Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
NCH Corporation,6000,8500,Chemicals,"Production Chemicals/Manufacturing, Commercial Products, Industrial Distribution, Industrial Maintenance, Cleaning and Speciality Supplies, Water Treatment & Remediation, Consumer Packaged Goods- Plumbing",Privately Held,United States,Irving,EST
Sammons Financial Group Companies,468,1300,Financial Services,Financial Services,Privately Held,United States,West Des Moines,EST
Lexington Medical Center,3800,8000,Hospital & Health Care,"Heart Center, Women's Services, Cancer Center, Orthopaedics, Birth Center, Family Medicine, Urgent Care, General Surgery, Alzheimer's Care, Occupational Health, Weight-Loss Surgery, Emergency Medicine, Urgent Care, Health and Wellness",Nonprofit,United States,West Columbia,EST
QuikTrip,9200,31000,Retail,,Privately Held,United States,Tulsa,EST
Chargebee,124.4,1110,Financial Services,"Recurring Billing, Subscription Management, Payment Gateway Integration, Invoicing, Automated transactional emails, Taxes, Accounting, Revenue Recognition, SaaS Metrics, Pricing Iteration",Privately Held,United States,San Francisco,EST
AMETEK,6600,21500,Electrical & Electronic Manufacturing,,Public Company,United States,Berwyn,EST
Southwire Company,9000,7000,Electrical & Electronic Manufacturing,"Industrial, Electrical, Energy, OEM, Southwire Continuous Rod, Tools and Assembled Products, Carrollton, GA",Privately Held,United States,Carrollton,EST
Arthrex,2600,1200,Medical Equipment Manufacturing,"Orthopedic Surgical Procedures, Orthopedic Medical Education, Orthopedic Surgical Products, Medical Device Innovation, Medical Device Manufacturing, Arthroscopy & Sports Medicine, Total Joint Arthroplasty, Imaging & Resection, orthopedics, orthopedic medical device, orthobiologics, Vet Systems",Privately Held,United States,Naples,EST
S&C Electric Company,820,3000,Electrical & Electronic Manufacturing,"smart grid solutions, renewable energy integration, medium- and high-voltage switching and protection, advanced power quality systems, services for electric power systems, energy storage solutions, smart grid communication systems, distribution automation",Privately Held,United States,Chicago,EST
Bob's Discount Furniture,1200,5700,Furniture,"Furniture, Bedding, Mattresses, Furnishings, Accesories, Retail, Consumer Products, Sofa, Couch, Advertising, Merchandising, Real Estate, Finance, Accounting, Information Technology, ecomerce, advertising, media, logistics, supply chain, warhousing",Privately Held,United States,Manchester,EST
Hill's Pet Nutrition,4290,2700,Manufacturing,"pet nutrition, pet food, dog, cat, veterinarian, nutrigenomics, nutrition, consumer packaged goods",Public Company,United States,Topeka,EST
Veritiv Corporation,6090,5200,Transportation/Trucking/Railroad,"print, packaging, facility solutions, supply chain, logistics",Public Company,United States,Atlanta,EST
Wyndham Hotels & Resorts,1397,2300,Hospitality,,Public Company,United States,Parsippany,EST
Supermicro,7123,5120,Computer Hardware,"Servers, Storage, IOT, Datacenter, Enterprise Solutions, Computer Hardware, GPU Systems, Rack Solutions, Embedded, Motherboards, Enclosures, Networking, Switch, Management Software, Software Defined, Machine Learning, Power Supply, AI, Edge, Liquid Cooling",Public Company,United States,San Jose,EST
Razer Inc.,1200,1600,Consumer Electronics,"Gaming Perpherials, Gaming Systems, Software Ecosystems, Internet of things, Android, iOS, Wearable, Audio products, Consumer Electronics, Home Entertainment, Virtual Reality, Mobile, Open Source, x86, WDM",Privately Held,United States,Irvine,EST
Al Jazeera Media Network,10000,3000,Broadcast Media,"News, Broadcast, Digital, Human Rights",Privately Held,Qatar,Doha,AST
Pakistan Petroleum Limited,1010,2600,Oil & Energy,Exploration & Production of Oil & Gas,Public Company,Pakistan,Karachi,PKT
HPE Aruba Networking,5000,6500,Information Technology & Services,"Networking, Wi-Fi, 802.11ac Wi-Fi, Remote networking, Multivendor network management",Public Company,United States,Santa Clara,EST
Dawn Foods Global,1300,3500,Food Production,"Bakery Ingredients/ Products/ Service, Bakery Product Distribution, Bakery Product Manufacturing, Supermarket / In-store Bakeries, Artisanal Bakeries, Foodservice, Bakery Manufacturers",Privately Held,United States,Jackson,EST
Briggs & Stratton,500,3600,Consumer Goods,"Air Cooled Gasoline Engines, Pressure Washers, Portable Generators, Standby Generators, Energy Storage Systems, Push Lawn Mowers, Zero Turn Riding Mowers, Riding Lawn Mowers, Garden Tractors, Job Site Equipment, Snow Throwers, Commercial Turf Equipment, Lithium-Ion Batteries",Privately Held,United States,Milwaukee,EST
Corsair,1460,1800,Computer Hardware,"Gaming Systems, Consumer Electronics, Gaming Peripherals, Computer Hardware, PC Peripherals",Public Company,United States,Milpitas,EST
TUMI,750,1200,Retail,,Public Company,United States,Edison,EST
Stericycle,2060,13500,Hospital & Health Care,"Sharps and Medical Waste Disposal Service, Communication Solutions, OSHA Compliance Programs, Pharmaceutical Waste Services, Sharps Containers and Healthcare Products, Document Destruction, Patient Engagement Solutions",Public Company,United States,Bannockburn,EST
Graybar,7700,8900,Wholesale,Distributor of Electrical and Communication Products and Services,Privately Held,United States,St. Louis,EST
"EMD Serono, Inc.",1500,1600,Biotechnology,metabolic endocrinology,Privately Held,United States,Rockland,EST
Ventura Foods,3200,3000,Food Production,,Privately Held,United States,Brea,EST
Hasbro,5100,5800,Consumer Goods,"Play, Entertainment",Public Company,United States,Pawtucket,EST
Crocs,2100,3800,Consumer Goods,,Public Company,United States,Broomfield,EST
Lionsgate,4000,900,Entertainment,"Film & Television Production and Distribution, Entertainment, Movies, TV, Home Entertainment, Channels",Public Company,United States,Santa Monica,EST
QAFCO (Qatar Fertiliser Company),1800,2000,Chemicals,"Fertilizer, Ammonia, Urea, Urea Formaldehyde, Melamine, Chemicals",Public Company,Qatar,Mesaieed,AST
The AES Corporation,10700,10500,Utilities,"Energy, Clean Energy, Renewable Energy, Solar Energy, Wind Energy, Green Hydrogen",Public Company,United States,Arlington,EST
Hexion Inc.,2350,4500,Chemicals,,Privately Held,United States,Columbus,EST
Vail Resorts,2234,6220,Hospitality,"Hospitality, Retail, Transportation, Mountain, Desitination Based Travel, Guest Service, Ski Resorts, Operations, Food & Beverage, Lodging, Guest Experience, Leadership Development, Sustainability",Public Company,United States,Broomfield,EST
Benjamin Moore,1650,2875,Consumer Goods,,Privately Held,United States,Montvale,EST
Toptal,300,400,Computer Software,"Software Engineering, iOS, Ruby on Rails, LAMP, .NET, Java, Python, JavaScript, C++, C#, HTML5/CSS3, PHP, Scala, Objective-C, SharePoint, Salesforce, Android, Node.js, Django, MATLAB",Privately Held,United States,San Francisco,PST
Ellucian,780,1600,Higher Education,"Higher Education Software & Services, Student Information System, Higher Education ERP, Mobile Campus, Recruitment & Enrollment Management Software, Student Retention, Cloud Services, Talent management system, Document Management Software, Workflow Software, Digital Transformation, SaaS",Privately Held,United States,Reston,EST
Iris Software Inc.,940,3200,Information Technology & Services,"Application Development, Application Maintenance and Support, Testing and Quality Assurance, Mobile Applications Development, Cloud Solutions, Product Development, Professional Services, Software Engineering, Data & Analytics, Intelligent Automation",Privately Held,United States,Edison,EST
ENOC,15000,5700,Oil & Energy,"Gas, Oil, Retail, Terminals, Jet Fuel, Exploration and Production, Supply Trading and Processing",Government Agency,United Arab Emirates,Dubai,GST
Affirm,760,5000,Financial Services,"eCommerce, Payments, Installment Loans, Millennials, Financial Services, Online Payments, Retail, Personal Finance, FinTech, Financial Technology, Financial Management",Public Company,United States,San Francisco,EST
doTERRA International LLC,2000,3800,"Health, Wellness & Fitness","Essential Oils, Weight Management, Skin Care, Nutrition, Wellness, Health, Beauty",Privately Held,United States,Pleasant Grove,EST
SIPCHEM,3200,3000,Chemicals,,Privately Held,Saudi Arabia,Jubail Industrial City,AST
ArisGlobal,300,1500,Software Development,"Pharmacovigilance, Safety Analytics Solution, Signal Detection & Risk Management, ICSR, Regulatory Information Management, eCTD publishing, Regulatory Analytics, ISO IDMP Solution, Regulatory Submissions Tracking, Clinical Data Management (RTSM | EDC | eCOA), Clinical Operations (Trial Disclosure | SUSAR Reporting | eTMF), CTMS, Site Payments, Medical Affairs Platform, Global Medical Information Management, Medical Content Management, Mobile Adverse Event Reporting, Product Complaint Management, Regulatory Publishing, Document Management, Automation",Privately Held,United States,Waltham,EST
Glanbia Performance Nutrition (GPN),3500,2200,Food and Beverage Services,"Consumer Goods, Sports Nutrition, Brand Management, R&D & Innnovation, Food, Beverage, Health, Wellness, Sales, Marketing, CPG, Dairy, Natural, Organic, Bars, Supplements, Nutrition, Sports, Manufacturing, ESG, D&I, Lifestyle, Weight Management, Energy, Performance Nutrition",Public Company,United States,Kilkenny,EST
CenterPoint Energy,7600,7800,Utilities,"Energy delivery, Natural Gas Distribution, Electric Transmission & Distribution, Home Services, Safety, Integrity, Accountability, Initiative, Respect, Electric Grid Reliability, Electric Grid Resiliency , Net Zero by 2035, Enabling growth for our customers and the communities we share.",Public Company,United States,Houston,EST
McCormick & Company,6300,13000,Food Production,,Public Company,United States,Hunt Valley,EST
GWC | Official,500,250,Transportation/Trucking/Railroad,"GWC Contract Logistics, GWC Hazmat, GWC Forwarding, GWC Projects, GWC Records, GWC Transport, GWC Relocations, GWC Fine Art, GWC Sports, GWC Equestrian, GWC Consulting / Real Estate, GWC Express UPS, GWC Pharma, Logistics, Supply Chain, Warehouses",Public Company,Qatar,Doha,AST
Freeman Company,320,1500,Events Services,"Audio Visual Solutions, Experiential Design, Exhibit Fabrication and Management, Exhibitor Services, Digital Services, Creative, Corporate Events, Meeting Planning, Event Specialists, Professional Services, Event Solutions, Event Marketing, Meetings and Events, Creative Agency",Privately Held,United States,Dallas,EST
Saudi Aramco Total Refining and Petrochemical Company (SATORP),15500,4500,Oil & Energy,"Global energy, fuel, gas, crude, refining, Petrochemicals",Partnership,Saudi Arabia,Jubail,AST
DTE Energy,10100,12000,Utilities,"Gas Distribution and Storage, Continuous Improvement, Unconventional Gas, Nuclear Generation, Merchant Operations, Biomass Generation, Six Sigma Blackbelt, Fossil or Coal Generation, Power Generation, Energy Trading, Mid-Stream Gas, Electric Utilities, Gas Utilities",Public Company,United States,Detroit,EST
Builders FirstSource,8700,15000,Building Materials,"Lumber, Manufactured Components, READY-FRAME, Moulding & Millwork, Doors, Windows, Decking, Siding, Truss & EWP Design, Pro Remodel Services, House Rendering Services, Estimating, Drafting",Public Company,United States,Irving,EST
Al Ansari Exchange,400,2500,Financial Services,"Foreign Exchange, Remittances, Bill Payments, Wage Disbursal, Credit Card Encashment, Investment & Savings Scheme, Mobile Top Up, Online Remittance",Privately Held,United Arab Emirates,Dubai,GST
Saudi Railway Company,350,2000,Transportation/Trucking/Railroad,"Railway Infrastructures, Operations and Maintenance, Passengers Line, Freight Line, Mineral Line",Privately Held,Saudi Arabia,Riyadh,AST
du,3000,2000,Telecommunications,"Telecommunication, Media, Advertising, Technology.",Public Company,United Arab Emirates,Dubai,GST
SASREF,4500,1200,Oil & Energy,,Public Company,Saudi Arabia,Jubail,AST
Radisys Corporation,200,600,Telecommunications,"open telecom solutions, 5G, LTE-Advanced, SDN, NFV, Systems Integration, Central Office Re-architected as Datacenter (CORD), Telecom Cloud Solutions, Media Processing and Transcoding, MEC, DevOps, TIP, OCP, RAN, Virtualization, Disaggregation, Digital Experience, Digital Transformation, Broadband, FTTx, Conferencing Solutions, Real-time Communications, Media Server, CPaaS, Digital Engagement , Industry 4.0, Programmable Communications",Public Company,United States,Hillsboro,EST
Elm Company,500,800,Information Technology & Services,"Secure e-Services, IT Services and Solutions, Government Process Optimization Outsourcing GPOO, Training Solutions and Consultations",Privately Held,Saudi Arabia,Riyadh,AST
Sony Electronics,7800,11000,Consumer Electronics,"Consumer Electronics, Consumer Software, Business & IT Solutions, Sales & Marketing",Public Company,United States,New York,EST
Superior Industries,1300,3000,Motor Vehicle Manufacturing,"Aluminum Cast and Flow Formed Wheels, Premium Finishes, Light Weight Technologies, Forged wheels",Public Company,United States,Southfield,EST
Haworth,2100,7500,Furniture,"Organic Workspaces®, Raised Floors, Movable Walls, Systems Furniture, Seating, Storage, Lighting, Wood Casegoods, Design, Manufacturing",Privately Held,United States,"Holland, Mi",EST
CyberArk,430,2000,Computer Software,"Privileged Account Security, Advanced Threat Protection, Insider Threat Protection, Privileged Identity Management, Privileged Session Management, SSH Key Management, Highly Sensitive Information Management, Information Security Software, DevOps Security, DevSecOps, Cloud Security, Identity Security, Privileged Access Management",Public Company,United States,Newton,EST
Chesapeake Energy,9800,2200,Oil & Energy,"Oil, Natural Gas Liquids, Natural Gas, Exploration, Drilling, Shale, Oil",Public Company,United States,Oklahoma City,EST
Donnelley Financial Solutions (DFIN),1000,2400,Financial Services,"SEC Regulation, Government Reporting, Risk & Compliance, Digital Software, SaaS, Cybersecurity, Technology, Fintech, Financial Solutions, IPO, M&A, Proxy, Global Filings, GDPR, ESG, Capital Markets, Investment Markets, E-Delivery, Blockchain, Data Management",Public Company,United States,Chicago,EST
Ebix,580,2000,Computer Software,"Agency/Broker Systems, Insurance Carrier Systems, Insurance Certificate Management (Certificate Tracking and Issuance), Life and Annuity, Risk Management, Custom Software Development, Contact Center Services, CRM, Remittance, Financial Technology, FOREX, Travel Exchanges, E-Learning",Public Company,United States,Johns Creek,EST
Saudi Business Machines - SBM,350,1800,Information Technology & Services,"AIX, HPC, zOS, IBM",Privately Held,Saudi Arabia,Jeddah,AST
"Daiichi Sankyo, Inc.",8000,15000,Pharmaceuticals,"Daiichi Sankyo, Inc. is a member of the Daiichi Sankyo group of companies and is focused on the development of oncology therapies and specialty medicines., Oncology, Specialty Medicine",Public Company,United States,Basking Ridge,EST
Rogers Corporation,870,3000,Electrical & Electronic Manufacturing,"High-Frequency Printed Circuit Materials, Advanced Foams for Cushioning and Protective Sealing, Power Electronic Solutions",Public Company,United States,Chandler,EST
Neovia Logistics,1200,10000,Transportation/Trucking/Railroad,"Global Logistics, Supply Chain Strategy and Design, Inventory Management, Warehouse Management",Privately Held,United States,Irving,EST
Specialized Bicycle Components,800,1200,Retail,"Bicycles, Design, Engineering, Product Development, Marketing, Human Resources, Sales, Finance, Outdoor Industry, Cycling, Distribution, eCommerce",Privately Held,United States,Morgan Hill,EST
-X-,3800,12000,Food Production,,Public Company,United States,,EST
Worthington Industries,5300,20000,Consumer Goods,"flat rolled steel, metal ceiling grid systems, pressure cylinders, alternative fuels, steel pallets, past model automotive service stampings, laser welded blanks",Public Company,United States,Worthington,EST
Discount Tire,5200,26620,Automotive,"Automotive Tires, Automotive Wheels",Privately Held,United States,Scottsdale,EST
Carhartt,900,5000,Apparel & Fashion,"Made in the USA, Rainwear, Workwear, Twill, Quick Duck, Rugged, High-Visibility, Flame-Resistant, Mens, Womens, Kids, Accessories, Boots, Company Gear",Privately Held,United States,Dearborn,EST
Tommy Bahama,680,3200,Apparel & Fashion,,Public Company,United States,Seattle,EST
Wiley,1900,7000,Publishing,"Research, Education, Publishing, Assessment, Certification, Learning, Higher Education, Digital Education, Professional Development, Technology, Digital Content, Talent Solutions, Education Services, Education Management, IT Services and IT Consulting, Professional Training and Coaching, E-learning Providers, Research Services, Human Resource Services, Technology, Information and Media, Software Development, Science",Public Company,United States,Hoboken,EST
Total Wine & More,4000,9000,Retail,"Wine, Spirits, experiential retail, retail, privately owned",Privately Held,United States,Bethesda,EST
Hanesbrands Inc.,6800,63000,Consumer Goods,Consumer Goods,Public Company,United States,Winston-Salem,EST
Hudson,1400,2500,Retail,Retail specialty stores in airports & transportation centers,Public Company,United States,East Rutherford,EST
VIZIO,2300,400,Consumer Electronics,,Public Company,United States,Irvine,EST
PubMatic,180,800,Internet,"Real-Time Bidding, online advertising, Yield Optimization, Ad Revenue, Sell Side Platform, marketing automation software, mobile advertising, video advertising, in-app advertising, inventory quality",Public Company,United States,Redwood City,EST
American Chemical Society,1100,1500,Non-profit Organization Management,"non-profit, chemistry, scientific society, publishing",Nonprofit,United States,Washington,EST
Autotrader US,1500,4000,Marketing & Advertising,"advertising vehicles, research vehicles, Merchandising",Privately Held,United States,Atlanta,EST
NEORIS,1200,2000,Information Technology & Services,"Digital Transformation, Business Consulting, IT Consulting, SAP Services, UX / UI, Mobility, Innovation, Cloud Computing, Supply Chain Management, SaaS, Manufacturing Transformation, BPM, Customer Relationship Management, Business Intelligence, Change Management, ERP Implementation, Outsourcing",Privately Held,United States,Miami,EST
East Carolina University,300,4200,Higher Education,"Arts and Sciences, Business, Education, Fine Arts and Communication, Art and Design, Music, Theater and Dance, Communication, Health and Human Performance, Human Ecology, Computer Science, Nursing, Medicine, Dental Medicine, Athletics",Educational Institution,United States,Greenville,EST
CSM Bakery Solutions,1500,1200,Food and Beverage Manufacturing,Bakery products and ingredients,Privately Held,United States,Georgia,EST
ARASCO,2200,4300,Food Production,"Animal Feed Manufacturing, Food Manufacturing, Agro Chemicals and Veterinary Medicine trade, Logistics, Corn Products",Privately Held,Saudi Arabia,Riyadh,AST
Bentley Systems,3200,3500,Computer Software,"Computer aided design and engineering software development, CAD, engineering, Infrastructure, ProjectWise, Software, Modeling design, MicroStation, software development, Rail, Road, Microstation, BIM, iTwin Platform, AssetWise",Public Company,United States,Exton,EST
General Dynamics Land Systems,8300,12500,Defense & Space,"Military systems, military innovations, armored vehicles, military vehicles, army vehicles, 3d printing, weapon systems, electronic architecture",Public Company,United States,Sterling Heights,EST
Johns Hopkins Aramco Healthcare (JHAH),200,3200,Hospital & Health Care,,Partnership,Saudi Arabia,Dhahran,AST
Avanos Medical,700,600,Medical Device,"Non-Opioid Pain Management Solutions, Digestive Health Solutions, Respiratory Health Solutions, medical equipment manufacturing",Public Company,United States,Alpharetta,EST
Toyo Tires,1100,3200,Automotive,,Privately Held,United States,Costa Mesa,EST
ResMed,2800,7400,Medical Device,"Sleep apnea, COPD, Out-of-hospital care, Home medical equipment, durable medical equipment, SaaS, CPAP, remote monitoring, patient engagement, Sleep, Respiratory care, medical devices, health IT, digital health, medical software, portable oxygen, ventilation, interoperability",Public Company,United States,San Diego,EST
Abiomed,900,1800,Medical Device,"Cardiovascular Medical Device Manufacturer, Cardiac Surgery Medical Device Manufacturer",Public Company,United States,Danvers,EST
W. L. Gore & Associates,3500,10500,Medical Device,"expanded polytetrafluoroethylene (ePTFE), materials science, membrane technology, polymer technology, healthcare & lifesciences, mobile electronics, industrial & manufacturing, automotive, apparel & textiles, consumer products, aerospace, environmental protection technologies",Privately Held,United States,Newark,EST
Western Michigan University,400,3000,Higher Education,,Educational Institution,United States,Kalamazoo,EST
Rio Salado College,300,900,Higher Education,"Online Certificate and Degree Programs, University Transfer, Military Student Support, Early College Options, Adult Basic Education, Corporate and Government Partnerships, Incarcerated Re-entry, Dual Enrollment, Professional Growth",Educational Institution,United States,Tempe,EST
"California State University, Fullerton",1500,4000,Higher Education,"Higher Education, Undergraduate degrees, Graduate degrees",Educational Institution,United States,Fullerton,EST
Morgan State University,200,800,Higher Education,"Education, Research, Public Service, Community Service",Educational Institution,United States,Baltimore,EST
University of Arkansas,850,4500,Higher Education,"College of Agricultural, Food & Life Sciences, College of Engineering, Walton College of Business, School of Law, Fulbright College of Arts & Sciences, Fay Jones School of Architecture, Honors College, College of Education & Health Professions, Graduate School",Educational Institution,United States,Fayetteville,EST
Swagelok,3200,5600,Industrial Machinery Manufacturing,"valves, regulators, hoses, oil and gas, chemical processing, biopharmaceutical, research, tube fittings, fluid systems, semiconductor manufacturing, transportation",Privately Held,United States,Solon,EST
Terumo Blood and Cell Technologies,2200,3200,Medical Device,"blood component separation and processing, therapeutic apheresis, cellular technologies, regenerative medicine",Public Company,United States,Lakewood,EST
Beacon Building Products,1100,2200,Building Materials,"Siding, Gutters, Insulation, Weatherproofing, Tools & Equipment, TRI-BUILT, Solar, Commercial Roofing, Residential Roofing, Skylights, Windows",Public Company,United States,Herndon,EST
Boardriders,1200,5000,Apparel & Fashion,,Privately Held,United States,Huntington Beach,EST
Belkin,700,1500,Consumer Electronics,"Speakers & Headphones, Chargers & Surge Protectors, MagSafe & Magnetic Accessories, Screen Protectors, Cables, Adapters, KVM and Cybersecurity Solutions, Docks and Hubs, Smart Home, Smart Water Sensors",Privately Held,United States,El Segundo,EST
Emergent BioSolutions,1500,2200,Biotechnology,"Manufacturing, Partnering, M&A, Devices Development, Vaccine Development, Therapeutics Development, Contract Development and Manufacturing",Public Company,United States,Gaithersburg,EST
Ferrara,2800,4500,Consumer Goods,"Confectionery Manufacturing, Co-Manufacturing, Private Label, Food Manufacturing",Privately Held,United States,Chicago,EST
W. R. Grace,1900,3500,Chemical Manufacturing,"Catalysts Technologies, Materials Technologies, Fine Chemicals, Specialty Catalysts",Privately Held,United States,Columbia,EST
Flowers Foods & Subsidiaries,4000,9200,Food Production,"Bakery, DSD, Warehouse Delivery, Product Innovation, Technology",Public Company,United States,Thomasville,EST
Evoke Technologies,300,400,Information Technology & Services,"Bonita BPM, Cloud Infra & Application, Java Services, Microsoft Solutions, Mobile App Development, Pega, RPA, ServiceNow, UI/UX Design, Big Data Analytics, BI & Data Warehousing, Data Science & AI, Microsoft Dynamics, Oracle E-Business Suite, Oracle ERP Cloud, Oracle CX, Salesforce, Core Testing, Security Assessment, Data Assurance, Digital Testing, Test Consulting, and Testing Specialized, SAP, ServiceNow, Mendix, Pega, OutSystems, Dynamics 365",Privately Held,United States,Dayton,EST
Sadara Chemical Company,4500,3000,Chemicals,,Public Company,Saudi Arabia,Jubail,AST
"WOW! Internet, Cable & Phone",1100,2000,Telecommunications,"Digital Cable, High Speed Internet, Wireless Networking, HDTV, Whole Home HD DVRs, Local and Long Distance Phone, SIP Business Trunking, Business Internet and Data, Cloud and Recovery, Hosted Voice, Business TV and Music, Optical Networking, Data Backup, Data Recovery, Business Voice, Ethernet, Dedicated Internet Access, Voice Trunking, Sales",Public Company,United States,Englewood,EST
Southern Oregon University,200,800,Higher Education,,Educational Institution,United States,Ashland,EST
"Skyworks Solutions, Inc.",4700,9000,Semiconductors,"Wireless Connectivity, Internet of Things, RF Engineering, Design Engineers, RF/Analog Semiconductors, High Performance Solutions, Technology Innovation, 5G, LTE",Public Company,United States,Irvine,EST
Teradyne,3100,5400,Industrial Automation,"Electronics Manufacturing, Robotics, Semiconductor Test, Industrial Automation, Production Board Test, System Level Test, Storage Test, Wireless Test, Memory Test",Public Company,United States,North Reading,EST
PURE Insurance,1200,500,Insurance,High Value Personal Lines Property & Casualty Insurance,Privately Held,United States,White Plains,EST
Callaway Golf,3000,6400,Retail,"Sporting Goods, Golf, Equipment, Apparel, Accessories, Shoes, Golf Balls, Golf Clubs",Public Company,United States,Carlsbad,EST
VSP Vision,6000,6300,Hospital & Health Care,"Vision Benefits, Eyewear, Ophthalmic Products and Laboratory Services, Practice Solutions, Retail, Outreach, Fashion, Insurance, Health Tracking Devices, Smart Eyewear",Nonprofit,United States,Rancho Cordova,EST
Tavant,300,2500,Information Technology & Services,"Consumer Lending, eCommerce, Manufacturing, Outsourced Product Development, Aftermarket Service Operations, OTT - Over The Top, DevOps, Analytics and Big Data, Artificial Intelligence, Warranty, Proptech, banktech, Media and Entertainment",Privately Held,United States,Santa Clara,EST
General Dynamics NASSCO,2100,3000,Shipbuilding,"Navy Shipbuilding, Commercial Shipbuilding, Navy Ship Repair",Public Company,United States,San Diego,EST
Abu Dhabi National Hotels Compass ME LLC,700,4000,Food & Beverages,"Events, Hospitality, Office Boys, Cleaning, Housekeeping, Catering, Laundry, Pest Control, Healthcare, Education, Oil & Gas, Defense, Support Services, Soft Services, Facilities Management",Partnership,United Arab Emirates,Abu Dhabi,GST
J.R. Simplot Company,6000,10000,Food Production,agriculture,Privately Held,United States,Boise,EST
West Marine,900,5000,Retail,"boating, fishing, sailing, watersports",Privately Held,United States,Fort Lauderdale,EST
Monster Energy,4200,3100,Food & Beverages,,Public Company,United States,Corona,EST
Joyson Safety Systems,7500,50000,Motor Vehicle Manufacturing,,Privately Held,United States,Auburn Hills,EST
Chobani,1700,2300,Food and Beverage Services,,Privately Held,United States,New Berlin,EST
Robert Bosch Tool Corporation NA,3700,4100,Manufacturing,"Power Tools, Power Tool Accessories, Measuring Tools, Construction Solutions, IoT",Privately Held,United States,Mt. Prospect,EST
Alfanar Projects,1200,3400,Construction,"Building Construction (Industrial & Commercial) Projects, Mechanical, Electrical & Plumbing Projects (MEP), Water Projects, Infrastructure Projects, Renewable Energy Projects, Green Fuels, Green Hydrogen, Smart Grid",Privately Held,Saudi Arabia,Riyadh,AST
Air Arabia,2300,2000,Airlines and Aviation,,Public Company,United Arab Emirates,Sharjah,GST
Crescent Electric Supply Company,1500,2200,Wholesale,"Electrical Construction Materials, Residential, Commercial and Industrial, Energy, DataComm, Project Quotations and Management, Power Distribution Equipment, LED Lighting",Privately Held,United States,East Dubuque,EST
Leprino Foods,3200,4000,Food and Beverage Manufacturing,"dairy ingredients, mozzarella, cream, lactose, whey protein concentrate, provolone, reduced-fat Monterey jack and cheddar, wheyproteinisolate",Privately Held,United States,Denver,EST
Border States,2200,2500,Wholesale,"Supply Chain Solutions, inventory management, logistics, cost savings, application of technology, innovation, product application expertise, automation",Privately Held,United States,Fargo,EST
James Hardie,2700,3000,Building Materials,"fiber cement siding, fiber cement trim, home renovation, home remodeling, backerboard, house siding, house trim, exterior siding, exterior trim, building products, engineering, supply chain, research and development, sales, marketing, fiber cement manufacturing, finance, accounting, exterior home design, manufacturing",Public Company,United States,Chicago,EST
MSC Industrial Supply Co.,3300,6500,Wholesale,"Distribution, Maintenance, Repair & Operations (MRO) Solutions, Metalworking Solutions & Expertise, ControlPoint Inventory Management Technology Solutions, Supply Chain Expertise & Services, Facility Management, Inventory Management Services, Manufacturing",Public Company,United States,Davidson,EST
WEC Energy Group,7800,8000,Utilities,"Electricity generation, Natural gas delivery, Electricity delivery",Public Company,United States,Milwaukee,EST
"GSPANN Technologies, Inc",320,1500,IT Services and IT Consulting,"Enterprise Content Mgmt, Information Mgmt (BI and DW), Web Strategy and Solution, QA Automation, Creative and Design Mgmt, Interactive Marketing solutions, Content Authoring and Migration, 24 X 7 Application Support, Mobile App Development, Omni Channel Strategy",Privately Held,United States,Milpitas,EST
Aricent,600,10000,Software Development,"Design, Product Engineering",Privately Held,United States,Santa Clara,EST
Arcesium,300,1200,IT Services and IT Consulting,"SaaS, Financial Technology, Treasury, Data Warehousing, Middle-Office Services, Back-Office Services, Reconciliation, Swaps Management, Performance Allocations, Hedge Funds, Private Equity, Financial Services, Institutional Asset Management, Fund Administration, Capital Markets, Asset Servicers, Post-Trade Technology, Data Management, Asset Management, Alternative Asset Management, Prime Brokers, Managed Services, Co-sourcing, Cloud Technology",Privately Held,United States,New York City,EST
Automation Anywhere,290,2200,Computer Software,"Robotic Process Automation, Automation Software, RPA, Intelligent Automation, Hyperautomation, BPO, AI, ML, Shared Services, SAP, Artificial Intelligence, OCR, Process Automation, Document Processing, Automation",Privately Held,United States,San Jose,EST
SGS - Saudi Ground Services,500,3000,Airlines and Aviation,"Ground Handling, Ground Services, Airports",Public Company,Saudi Arabia,Jeddah,AST
"RXO, Inc.",2900,15000,Truck Transportation,,Public Company,United States,Charlotte,EST
Esprit,600,2300,Retail Apparel and Fashion,"Fashion, Lifestyle, Design, Accessories, Trends, Mode, Bekleidung, Textil, Einzelhandel, Wholesale, Retail, Licensing, Omnichannel",Public Company,United States,New York,EST
Leggett & Platt,4200,22000,Furniture and Home Furnishings Manufacturing,"Automotive, Adjustable Beds, Bedding, Home Furniture, Work Furniture, Aerospace, Machinery, Flooring Products, Wire, Foam, Hydraulic Cylinders",Public Company,United States,Carthage,EST
Lids,800,4200,Retail,"Multi-Channel Retailer, All-Inclusive Team Sports Distributor, Custom Embroidery/Screen Printing, Branding Solutions",Privately Held,United States,Indianapolis,EST
Libbey,750,6100,Consumer Services,"Glassware, Dinnerware, Flatware, Serveware, beverageware, Tableware",Privately Held,United States,Toledo,EST
PSEG,9200,13000,Utilities,,Public Company,United States,Newark,EST
