Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Microvast,150,400,Manufacturing,"LpCO / LpTO Lithium Ion Batteries;LpCO pouch cell, Automotive PHEV, HEV, BEV; Stationary Power; Battery Backup; Industrial Equipment;  Custom Solutions; Battery MFG / Development, EV, ESS, Energy Storage, Battery, BEV, MpCO, HpCO, NMC, Battery solution, BMS, Cell, Module, Pack",Public Company,United States,Stafford,EST
Giordano Middle East,500,1200,Retail Apparel and Fashion,Fashion,Privately Held,United Arab Emirates,Dubai,GST
BRB Group,100,500,Real Estate,,Privately Held,Pakistan,Karachi,PKT
Flexsteel Industries Inc.,500,1000,Furniture,"Home Furniture, Contract Furniture, Recreation Furniture , Ready To Assemble Furniture, Soft Seating, Case Goods",Public Company,United States,Dubuque,EST
Gatronova Group,150,400,Textile Manufacturing,"Preforms, Resin, Flex, Bottles, Caps, BOPET Films, Polyester Yarn, Mobility, PET Sheets",Privately Held,Pakistan,Karachi,PKT
NBK FASHION,200,800,Retail,,Partnership,Qatar,Doha,AST
Sawaeed Employment LLC,100,600,Human Resources Services,"Recruitment, labour Supply, oil and Gas, Emiratisation, Domestic and hospitality staffs, Employment Services, Facility Management, White Collar Outsourcing, Blue Collar Outsourcing, Manpower Outsourcing",Partnership,United Arab Emirates,Abu Dhabi,GST
NCH Latin America,1000,2000,Chemical Manufacturing,"Lubricantes Industriales, Tratamiento de agua, Control de olores, Aguas Residuales, Tratamientos biológicos, Aditivos para combustible, Grasas, Soldaduras, Herramienta Premium, Equipos para la limpieza de partes, Químicos para limpieza, Desengrasantes Industriales, Limpieza Industrial, Servicio al cliente, Aceites Hidráulicos, Aceites para Engranajes, Chillers, Boilers Industriales, Desinfectantes, Dieléctricos, Graixas, Waste Water, Parts Cleaning, Partsmaster, Welding, Industrial Cleaners, Óleos, Lubrificantes, Tratamento do agua, BioAmp",Privately Held,United States,Irving,EST
University at Albany's,480,3075,Higher Education,"Nanobioscience, Nanoengineering, Nanoscience",Educational Institution,United States,Albany,EST
"Aris Horticulture, Inc.",50,150,Farming,"Aris Hort, Keepsake, Green Leaf, Farming, Perennials, Hydrangea, Mandevilla, Hibiscus, Azaleas, Starter Plants, Unrooted Cuttings, Finished Plants, Wholesale, Sales, Marketing, Brokered Products",Privately Held,United States,Barberton,EST
"MagRabbit, Inc.",30,100,IT Services and IT Consulting,"Legacy Technology Migration, ERP On-Going Maintenance, Custom Business Mobile/Web Apps, Salesforece Cloud Apps, IOT Turnkey Development, Cloud DevOPs, Supply Chain Managemnt, K1-K12 Digital Books Development, Product Procurements",Privately Held,United States,Cedar Park,EST
UC James L. Winkle College of Pharmacy,1600,400,Higher Education,"PharmD, MS/PhD, MS Cosmetic Science & Certificate, MS Drug Development & Certificate, MS Pharmacy Leadership & Certificate, Continuing Education, Experiential Programs, Residency, Pharmacy Leadership, Cosmetic Science, Drug Delivery",Educational Institution,United States,Cincinnati,EST
Piercing Pagoda,150,500,Retail,,Public Company,United States,Coppell,EST
Nestle,90000,300000,Retail,,Privately Held,United States,Sheridan,EST
Rapidigm,200,500,IT Services and IT Consulting,,Privately Held,United States,Pittsburgh,EST
GENEWIZ from Azenta Life Sciences,300,1000,Biotechnology Research,"Sanger Sequencing, Gene Synthesis, Next Generation Sequencing, DNA Sequencing, Mutation Analysis, SNP Discovery, Sequencing from Bacteria and Phage, Difficult Template Sequencing, Plasmid Preparation, Site-directed Mutagenesis, Fragment Analysis, Molecular Genomics, Regulatory",Public Company,United States,South Plainfield,EST
Gestamp North America,2000,10000,Motor Vehicle Manufacturing,"World Class Manufacturer of Metal Products, High Strength Steels Stamping, Cold and Hot Metal Stamping, Welding and Assembly, Laser Welded Blanks, Finishing and Tooling, Automotive",Public Company,United States,Troy,EST
"Dunn Solutions, a KaarTech Company",100,400,IT Services and IT Consulting,"Business Analytics, Custom Application Development, Mobile Applications, Data Warehousing, Portals, E-Commerce",Privately Held,United States,Chicago,EST
Inovis,80,200,Software Development,"cloud services brokerage, EDI (Electronic Data Interchange), Integration Brokerage (B2B Managed Services), supplier management, B2B integration, data translation, data synchronization, managed services",Privately Held,United States,Gaithersburg,EST
Lone Star Transportation,300,800,Truck Transportation,"Flat Bed, Heavy Haul, Over Dimensional, Oversized Freight",Public Company,United States,Fort Worth,EST
Abacus Recruiter,-,20000,Human Resources Services,"executive search, human resource outsourcing, talent acquisition, bulk recruitment, psychometric assessments, manpower services",Privately Held,Pakistan,Lahore,PKT
OMNIPLEX World Services Corporation,150,1000,Security and Investigations,"Protective Services, Background Investigations",Privately Held,United States,Herndon,EST
"Shangri-La Qaryat Al Beri, Abu Dhabi",100,1000,Hospitality,"Hospitality, Hotel, Food & Beverage, Events, Banquets, Conference, Spa, Family, Wellness, Residences, Villas",Public Company,United Arab Emirates,Abu Dhabi,GST
Glazier Foods Company,300,1000,Food and Beverage Services,"Food Distribution and Outstanding Customer Service, Services and Solutions to Increase Profitability for the Food Service Operator",Privately Held,United States,Houston,EST
Millennium Hotel Hail,40,250,Hospitality,,Partnership,Saudi Arabia,Ha'Il,AST
Remington Arms Company,800,1500,Retail,"Ammunition and firearms manufacturing for commercial, law enforcement, and military markets.",Privately Held,United States,Lonoke,EST
